id,title,year,runtime,genre,director,cast,writer,language,country,awards,imdb_rating,imdb_votes,box_office
0,The Shawshank Redemption,,,,,,,,,,,,
1,Memento,,,,,,,,,,,,
2,In Bruges,,,,,,,,,,,,
3,Gods,,,,,,,,,,,,
4,The Godfather,,,,,,,,,,,,
5,The Dark Knight,,,,,,,,,,,,
6,12 Angry Men,,,,,,,,,,,,
7,Gone Girl,,,,,,,,,,,,
8,Pulp Fiction,,,,,,,,,,,,
9,Fight Club,,,,,,,,,,,,
10,Forrest Gump,,,,,,,,,,,,
11,Joker,,,,,,,,,,,,
12,Inception,,,,,,,,,,,,
13,The Matrix,,,,,,,,,,,,
14,Goodfellas,,,,,,,,,,,,
15,Seven Samurai,,,,,,,,,,,,
16,Se7en,,,,,,,,,,,,
17,City of God,,,,,,,,,,,,
18,Seven Pounds,,,,,,,,,,,,
19,Boyhood,,,,,,,,,,,,
20,Contratiempo,,,,,,,,,,,,
21,Vicky Cristina Barcelona,,,,,,,,,,,,
22,The Silence of the Lambs,,,,,,,,,,,,
23,Saving Private Ryan,,,,,,,,,,,,
24,The Green Mile ,,,,,,,,,,,,
25,Interstellar,,,,,,,,,,,,
26,The Usual Suspects,,,,,,,,,,,,
27,The Lion King,,,,,,,,,,,,
28,Back to the Future,,,,,,,,,,,,
29,The Pianist,,,,,,,,,,,,
30,The Intouchables,,,,,,,,,,,,
31,Psycho,,,,,,,,,,,,
32,Gladiator,,,,,,,,,,,,
33,City Lights,,,,,,,,,,,,
34,The Departed,,,,,,,,,,,,
35,Whiplash,,,,,,,,,,,,
36,The Prestige,,,,,,,,,,,,
37,Casablanca,,,,,,,,,,,,
38,Cinema Paradiso,,,,,,,,,,,,
39,Alien,,,,,,,,,,,,
40,Apocalypse Now,,,,,,,,,,,,
41,Django Unchained,,,,,,,,,,,,
42,The Shining,,,,,,,,,,,,
43,Parasite,,,,,,,,,,,,
44,Oldboy,,,,,,,,,,,,
45,The Dark Knight Rises,,,,,,,,,,,,
46,American Beauty,,,,,,,,,,,,
47,Coco,,,,,,,,,,,,
48,Braveheart,,,,,,,,,,,,
49,Toy Story,,,,,,,,,,,,
50,Amadeus,,,,,,,,,,,,
51,Inglourious Basterds,,,,,,,,,,,,
52,Good Will Hunting,,,,,,,,,,,,
53,Requiem for a Dream,,,,,,,,,,,,
54,Vertigo,,,,,,,,,,,,
55,Eternal Sunshine of the Spotless Mind,,,,,,,,,,,,
56,Citizen Kane,,,,,,,,,,,,
57,The Hunt,,,,,,,,,,,,
58,Enemy at the Gates,,,,,,,,,,,,
59,Full Metal Jacket,,,,,,,,,,,,
60,A Clockwork Orange,,,,,,,,,,,,
61,Snatch,,,,,,,,,,,,
62,Scarface,,,,,,,,,,,,
63,Lawrence of Arabia,,,,,,,,,,,,
64,Taxi Driver,,,,,,,,,,,,
65,The Sting,,,,,,,,,,,,
66,To Kill a Mockingbird,,,,,,,,,,,,
67,Indiana Jones and the Last Crusade,,,,,,,,,,,,
68,Ben Hur,,,,,,,,,,,,
69,The Apartment,,,,,,,,,,,,
70,Incendies,,,,,,,,,,,,
71,Heat,,,,,,,,,,,,
72,Batman Begins,,,,,,,,,,,,
73,Die Hard,,,,,,,,,,,,
74,Unforgiven,,,,,,,,,,,,
75,Green Book,,,,,,,,,,,,
76,Children of Heaven,,,,,,,,,,,,
77,Downfall,,,,,,,,,,,,
78,A Beautiful Mind,,,,,,,,,,,,
79,Raging Bull,,,,,,,,,,,,
80,The Wolf of Wall Street,,,,,,,,,,,,
81,Chinatown,,,,,,,,,,,,
82,The Gold Rush,,,,,,,,,,,,
83,Inside Out,,,,,,,,,,,,
84,There Will Be Blood,,,,,,,,,,,,
85,V for Vendetta,,,,,,,,,,,,
86,Warrior,,,,,,,,,,,,
87,Room,,,,,,,,,,,,
88,Shazam,,,,,,,,,,,,
89,Trainspotting,,,,,,,,,,,,
90,No Country for Old Men,,,,,,,,,,,,
91,The Sixth Sense,,,,,,,,,,,,
92,Shutter Island,,,,,,,,,,,,
93,The Thing,,,,,,,,,,,,
94,Gone with the Wind,,,,,,,,,,,,
95,Blade Runner,,,,,,,,,,,,
96,Jurassic Park,,,,,,,,,,,,
97,Fargo,,,,,,,,,,,,
98,Gran Torino,,,,,,,,,,,,
99,The Big Lebowski,,,,,,,,,,,,
